Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
sp|Q7RTP6|MICA3_HUMAN	Q7RTP6	MICA3_HUMAN	MICAL3	2002	false	false	Homo sapiens	[F-actin]-monooxygenase MICAL3	1:Experimental evidence at protein level	14.34	1.0000	0.9990	0.00000000000000	28	27	28	31	29	31	6461671	6461671	6461671	10K(304.2072), 11K(304.2072), 12K(304.2072), 12M(15.9949), 15K(304.2072), 16K(304.2072), 17K(304.2072), 2C(57.0215), 4M(15.9949), 6K(304.2072), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1208313.0566	987802.4346	1499811.4512	976186.9248	1113985.2012	1044215.1055	1013453.8174	1180418.2656	1237617.1582	1179497.5010	1108277.2178	1169267.1025	23500.1519	9894.0072	0.0000	0.0000
sp|Q7RTS9|DYM_HUMAN	Q7RTS9	DYM_HUMAN	DYM	669	false	false	Homo sapiens	Dymeclin	1:Experimental evidence at protein level	3.59	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	2004360	2004360	2004360	N-term(304.2072)			51504.1055	40263.5176	57745.9893	51439.0479	60235.9053	54054.6621	95829.5879	113362.4922	124122.3320	190343.8164	187184.4609	207116.1660	3813.6582	1147.3567	0.0000	0.0000
sp|Q7RTV0|PHF5A_HUMAN	Q7RTV0	PHF5A_HUMAN	PHF5A	110	false	false	Homo sapiens	PHD finger-like domain-containing protein 5A	1:Experimental evidence at protein level	53.64	1.0000	0.9990	0.00000000000000	6	6	6	7	7	7	13734980	13734980	13734980	15C(57.0215), 16K(304.2072), 1C(57.0215), 2C(57.0215), 4C(57.0215), 5C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			277902.2676	217459.3105	439011.3604	464817.8203	450768.3418	505758.2930	326316.5879	351117.6924	398422.0273	560171.9844	476752.4180	440374.9219	19410.7659	10891.8730	2345.5144	0.0000
sp|Q7Z2D5|PLPR4_HUMAN	Q7Z2D5	PLPR4_HUMAN	PLPPR4	763	false	false	Homo sapiens	Phospholipid phosphatase-related protein type 4	1:Experimental evidence at protein level	15.33	1.0000	0.9990	0.00000000000000	10	10	10	10	10	10	3593472	3593472	3593472	10K(304.2072), 13M(15.9949), 3M(15.9949), 9C(57.0215), 9K(304.2072), N-term(304.2072)			151970.0923	124489.2900	207202.6387	147705.1436	156873.8389	160996.3926	415085.3965	513198.6465	520924.6973	574848.1562	547142.9102	615555.1543	12868.5706	5127.0726	0.0000	0.0000
sp|Q7Z2K6|ERMP1_HUMAN	Q7Z2K6	ERMP1_HUMAN	ERMP1	904	false	false	Homo sapiens	Endoplasmic reticulum metallopeptidase 1	1:Experimental evidence at protein level	9.73	1.0000	0.9990	0.00000000000000	9	9	9	9	9	9	2308364	2308364	2308364	10K(304.2072), 11K(304.2072), 13K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			133986.7896	98718.3926	152185.6279	110574.8767	119071.4998	107777.5889	356082.7891	406459.7383	464426.0039	355515.4805	324358.0195	329839.4199	5476.0320	0.0000	0.0000	0.0000
sp|Q7Z2K8|GRIN1_HUMAN	Q7Z2K8	GRIN1_HUMAN	GPRIN1	1008	false	false	Homo sapiens	G protein-regulated inducer of neurite outgrowth 1	1:Experimental evidence at protein level	56.25	1.0000	0.9990	0.00000000000000	64	64	64	75	75	75	39893680	39893680	39893680	11C(57.0215), 12K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17C(57.0215), 18K(304.2072), 19K(304.2072), 1K(304.2072), 2K(304.2072), 3C(57.0215), 5C(57.0215), 5M(15.9949), 6C(57.0215), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			2018540.3252	2039186.0464	3235858.5898	1741309.2979	1916013.9980	1855667.3789	4758112.0547	5971817.5195	6132040.2266	7709691.2871	7230232.1504	6585987.9766	204853.2422	97378.7621	0.0000	0.0000
sp|Q7Z2T5|TRM1L_HUMAN	Q7Z2T5	TRM1L_HUMAN	TRMT1L	733	false	false	Homo sapiens	TRMT1-like protein	1:Experimental evidence at protein level	3.27	1.0000	0.9988	0.00051912095518	3	3	3	3	3	3	2133072	2133072	2133072	3M(15.9949), 6M(15.9949), 7K(304.2072), N-term(304.2072)			48843.2354	37817.4785	74195.1719	91922.1729	92206.4727	96935.2295	57173.8613	60248.1572	63281.8965	75043.2168	75708.4102	80194.6719	3222.1550	0.0000	0.0000	0.0000
sp|Q7Z2W4|ZCCHV_HUMAN	Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	902	false	false	Homo sapiens	Zinc finger CCCH-type antiviral protein 1	1:Experimental evidence at protein level	17.29	1.0000	0.9990	0.00000000000000	15	15	15	15	15	15	14809407	14809407	14809407	10C(57.0215), 10K(304.2072), 11K(304.2072), 18K(304.2072), 1C(57.0215), 1K(304.2072), 2C(57.0215), 3C(57.0215), 4C(57.0215), 5M(15.9949), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8C(57.0215), 9K(304.2072), N-term(304.2072), N-term(42.0106)			270953.0210	219762.8628	368437.3281	362928.9502	435281.5391	335313.1572	463594.2422	520325.1582	641966.1191	760345.7363	772767.1934	673308.5527	10852.5914	4481.3759	0.0000	0.0000
sp|Q7Z2W9|RM21_HUMAN	Q7Z2W9	RM21_HUMAN	MRPL21	205	false	false	Homo sapiens	39S ribosomal protein L21, mitochondrial	1:Experimental evidence at protein level	23.90	1.0000	0.9990	0.00000000000000	6	6	6	8	8	8	9272550	9272550	9272550	1K(304.2072), 4M(15.9949), 5M(15.9949), 7K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			179888.8691	148781.9707	211723.7822	129091.8672	132874.9893	146306.9531	496016.2227	536477.2852	600790.6992	473593.7773	440764.1504	456134.5742	11215.0266	8035.6458	0.0000	0.0000
sp|Q7Z2Z2|EFL1_HUMAN	Q7Z2Z2	EFL1_HUMAN	EFL1	1120	false	false	Homo sapiens	Elongation factor-like GTPase 1	1:Experimental evidence at protein level	11.88	1.0000	0.9990	0.00000000000000	15	15	15	16	16	16	5550252	5550252	5550252	10K(304.2072), 11K(304.2072), 1C(57.0215), 1K(304.2072), 22C(57.0215), 24K(304.2072), 2C(57.0215), 2M(15.9949), 3K(304.2072), 5M(15.9949), 6K(304.2072), 6M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			642815.4902	549081.2783	857803.3066	753594.7402	846848.1074	755748.1191	481131.3350	555788.6279	595750.3203	640972.6553	555156.6201	661402.2256	18112.4486	8861.3892	0.0000	0.0000
sp|Q7Z392|TPC11_HUMAN	Q7Z392	TPC11_HUMAN	TRAPPC11	1133	false	false	Homo sapiens	Trafficking protein particle complex subunit 11	1:Experimental evidence at protein level	5.30	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	3266923	3266923	3266923	16K(304.2072), 3C(57.0215), 5K(304.2072), 6K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			186242.9922	150244.1260	225663.0752	193426.9014	207615.7012	186345.8281	136274.9736	149261.3838	168047.9160	162929.9766	161869.3115	181938.3467	4324.7572	0.0000	0.0000	0.0000
sp|Q7Z3B1|NEGR1_HUMAN	Q7Z3B1	NEGR1_HUMAN	NEGR1	354	false	false	Homo sapiens	Neuronal growth regulator 1	1:Experimental evidence at protein level	36.44	1.0000	0.9990	0.00000000000000	13	13	13	30	30	30	153594654	153594654	153594654	10K(304.2072), 13K(304.2072), 19C(57.0215), 1C(57.0215), 1K(304.2072), 21K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			958761.1182	725547.5400	1250286.5293	680736.0457	882267.2363	540073.6217	8220795.7227	6187427.3438	6211085.7734	3774853.2441	3741716.4082	3301371.6895	122035.8304	61897.4165	2127.5452	0.0000
sp|Q7Z3C6|ATG9A_HUMAN	Q7Z3C6	ATG9A_HUMAN	ATG9A	839	false	false	Homo sapiens	Autophagy-related protein 9A	1:Experimental evidence at protein level	7.87	1.0000	0.9990	0.00000000000000	7	7	7	9	9	9	7670518	7670518	7670518	10K(304.2072), 3K(304.2072), 7K(304.2072), N-term(304.2072)			130534.2598	108168.5947	177230.7598	160940.6699	168274.3125	164568.6602	263012.4277	325847.3008	368091.4258	369247.6250	329850.4004	354133.9609	9752.5737	6410.2351	0.0000	0.0000
sp|Q7Z3D6|GLUCM_HUMAN	Q7Z3D6	GLUCM_HUMAN	DGLUCY	616	false	false	Homo sapiens	D-glutamate cyclase, mitochondrial	1:Experimental evidence at protein level	21.43	1.0000	0.9990	0.00000000000000	12	12	12	13	13	13	13480546	13480546	13480546	12K(304.2072), 14K(304.2072), 15M(15.9949), 1K(304.2072), 24K(304.2072), 2C(57.0215), 2K(304.2072), 3C(57.0215), 5C(57.0215), 5M(15.9949), N-term(304.2072)			406721.4893	344574.5078	603965.9180	250928.8906	264901.0237	253836.7576	652036.2227	795512.8662	985808.3359	978316.7910	906278.7637	784928.5195	22146.7145	11175.5571	0.0000	0.0000
sp|Q7Z3E5|ARMC9_HUMAN	Q7Z3E5	ARMC9_HUMAN	ARMC9	818	false	false	Homo sapiens	LisH domain-containing protein ARMC9	1:Experimental evidence at protein level	8.80	1.0000	0.9989	0.00051912095518	9	9	9	9	9	9	2060437	2060437	2060437	2M(15.9949), 4M(15.9949), 6M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			204315.6777	158141.2407	271881.2588	332408.0547	357255.6230	330335.3018	168450.8828	176658.2070	202249.3955	238008.6660	199900.4766	200813.6895	7731.4814	0.0000	0.0000	0.0000
sp|Q7Z3J2|VP35L_HUMAN	Q7Z3J2	VP35L_HUMAN	VPS35L	963	false	false	Homo sapiens	VPS35 endosomal protein-sorting factor-like	1:Experimental evidence at protein level	11.32	1.0000	0.9990	0.00000000000000	10	10	10	11	11	11	2237754	2237754	2237754	10K(304.2072), 11K(304.2072), 13K(304.2072), 17K(304.2072), 1K(304.2072), 2C(57.0215), 3M(15.9949), 4M(15.9949), 6C(57.0215), 9K(304.2072), N-term(304.2072)			295265.6797	226489.5635	357645.6660	198034.5181	209511.8740	199001.4727	287475.6475	338184.5225	352987.9424	493359.7324	488925.8613	527240.0996	20188.3937	7943.1022	0.0000	0.0000
sp|Q7Z3T8|ZFY16_HUMAN	Q7Z3T8	ZFY16_HUMAN	ZFYVE16	1539	false	false	Homo sapiens	Zinc finger FYVE domain-containing protein 16	1:Experimental evidence at protein level	4.22	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	1852867	1852867	1852867	10K(304.2072), 13K(304.2072), 3C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), N-term(304.2072)			153467.5723	126679.7852	212403.4023	199850.9824	243138.6406	207158.2305	170071.7451	175819.4912	195365.3662	217438.0137	226604.8818	210240.8613	5523.4010	2864.1981	0.0000	0.0000
sp|Q7Z3U7|MON2_HUMAN	Q7Z3U7	MON2_HUMAN	MON2	1717	false	false	Homo sapiens	Protein MON2 homolog	1:Experimental evidence at protein level	10.02	1.0000	0.9990	0.00000000000000	17	17	17	18	18	18	4673974	4673974	4673974	10K(304.2072), 11K(304.2072), 4K(304.2072), 5M(15.9949), 6C(57.0215), 6K(304.2072), 7K(304.2072), 8C(57.0215), 9K(304.2072), 9M(15.9949), N-term(304.2072), N-term(42.0106)			654670.3525	508786.5488	841305.4297	776923.9629	855089.8652	841158.5781	476162.9941	510814.9141	557045.4180	677028.6445	587647.5723	735906.1309	16202.8003	8384.1595	0.0000	0.0000
sp|Q7Z406|MYH14_HUMAN	Q7Z406	MYH14_HUMAN	MYH14	1995	false	false	Homo sapiens	Myosin-14	1:Experimental evidence at protein level	6.72	1.0000	0.9990	0.00000000000000	16	2	2	24	2	2	86369468	1720827	86369468	8K(304.2072), N-term(304.2072)			78018.1816	62469.1992	107915.0586	39214.3203	42972.4004	37648.4385	44215.8457	57128.4180	62472.3535	38339.7656	30420.7793	32911.4971	0.0000	0.0000	0.0000	0.0000
sp|Q7Z408|CSMD2_HUMAN	Q7Z408	CSMD2_HUMAN	CSMD2	3487	false	false	Homo sapiens	CUB and sushi domain-containing protein 2	1:Experimental evidence at protein level	0.80	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	4860900	4860900	4860900	3C(57.0215), 6C(57.0215), 8K(304.2072), N-term(304.2072)			54272.7090	49073.6426	74184.6523	64441.9004	77279.4062	70518.7266	66649.0488	75854.7461	78280.4082	70857.9316	66828.8184	62484.1934	0.0000	0.0000	0.0000	0.0000
sp|Q7Z417|NUFP2_HUMAN	Q7Z417	NUFP2_HUMAN	NUFIP2	695	false	false	Homo sapiens	FMR1-interacting protein NUFIP2	1:Experimental evidence at protein level	14.24	1.0000	0.9990	0.00000000000000	9	8	9	11	10	11	4115171	4115171	4115171	11K(304.2072), 14K(304.2072), 2C(57.0215), 5K(304.2072), 9K(304.2072), N-term(304.2072)			250453.7305	205173.8877	375414.6855	418775.6641	487039.0117	462772.1738	236356.3682	258773.9150	317659.5830	635341.6230	556613.5645	590119.5020	10118.8320	9138.7412	0.0000	0.0000
sp|Q7Z449|CP2U1_HUMAN	Q7Z449	CP2U1_HUMAN	CYP2U1	544	false	false	Homo sapiens	Cytochrome P450 2U1	1:Experimental evidence at protein level	9.74	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	97808889	97808889	97808889	10K(304.2072), 1K(304.2072), 7K(304.2072), N-term(304.2072)			47712.4253	42142.5527	59643.6406	42792.4951	39039.6946	38372.5190	149841.5859	163266.3887	192141.8828	175828.4004	186432.3008	175552.0449	3189.9409	0.0000	0.0000	0.0000
sp|Q7Z460|CLAP1_HUMAN	Q7Z460	CLAP1_HUMAN	CLASP1	1538	false	false	Homo sapiens	CLIP-associating protein 1	1:Experimental evidence at protein level	25.03	1.0000	0.9990	0.00000000000000	34	31	32	41	37	38	48115436	47320486	48115436	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), 1K(304.2072), 2C(57.0215), 2M(15.9949), 33K(304.2072), 4M(15.9949), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9C(57.0215), 9K(304.2072), N-term(304.2072)			1367667.3018	1100166.6953	1654391.5889	1557668.8564	1803893.3818	1743431.6582	1273744.3906	1333608.0283	1436452.4941	1803841.5508	1587309.2539	1855960.5195	48331.4216	22953.3616	0.0000	0.0000
sp|Q7Z478|DHX29_HUMAN	Q7Z478	DHX29_HUMAN	DHX29	1369	false	false	Homo sapiens	ATP-dependent RNA helicase DHX29	1:Experimental evidence at protein level	7.74	1.0000	0.9990	0.00000000000000	10	10	10	11	11	11	2717467	2717467	2717467	10K(304.2072), 13K(304.2072), 15K(304.2072), 1C(57.0215), 1K(304.2072), 2C(57.0215), 5C(57.0215), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			317112.0801	246703.1914	398520.4883	361563.1973	400546.7168	376043.5215	317061.9902	338545.1152	378573.2598	492256.7031	483417.6133	543280.2227	13936.5117	6986.2052	0.0000	0.0000
sp|Q7Z4G4|TRM11_HUMAN	Q7Z4G4	TRM11_HUMAN	TRMT11	463	false	false	Homo sapiens	tRNA (guanine(10)-N2)-methyltransferase homolog	1:Experimental evidence at protein level	6.05	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	2679161	2679161	2679161	12K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			130090.8203	120465.5391	185559.3516	171761.0723	179219.2266	158201.3672	86091.2695	90011.9922	106880.8584	167313.8516	150596.9570	167741.2246	5606.5330	1271.2859	0.0000	0.0000
sp|Q7Z4H8|PLGT3_HUMAN	Q7Z4H8	PLGT3_HUMAN	POGLUT3	507	false	false	Homo sapiens	Protein O-glucosyltransferase 3	1:Experimental evidence at protein level	13.21	1.0000	0.9990	0.00000000000000	8	8	8	9	9	9	4527889	4527889	4527889	13K(304.2072), 4C(57.0215), 4K(304.2072), 5K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			82899.5059	80662.6709	134493.1543	103901.9492	109952.7549	89926.9580	265362.7598	326938.3945	410196.4727	429281.4062	433649.3594	302821.5898	14476.1196	5937.4746	0.0000	0.0000
sp|Q7Z4K8|TRI46_HUMAN	Q7Z4K8	TRI46_HUMAN	TRIM46	759	false	false	Homo sapiens	Tripartite motif-containing protein 46	2:Experimental evidence at transcript level	16.21	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	5332809	5332809	5332809	10C(57.0215), 12K(304.2072), 4C(57.0215), 6C(57.0215), 7C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			323849.6855	280776.5596	372225.6953	265361.0312	291484.9805	283613.6543	244113.3477	282856.8555	297880.8613	304066.4590	269431.3271	324936.6924	2909.2678	1316.4916	0.0000	0.0000
sp|Q7Z4S6|KI21A_HUMAN	Q7Z4S6	KI21A_HUMAN	KIF21A	1674	false	false	Homo sapiens	Kinesin-like protein KIF21A	1:Experimental evidence at protein level	32.62	1.0000	0.9990	0.00000000000000	54	47	54	72	63	72	58886134	56971393	58886134	10K(304.2072), 11C(57.0215), 11K(304.2072), 11M(15.9949), 13K(304.2072), 13M(15.9949), 14C(57.0215), 14K(304.2072), 15K(304.2072), 17K(304.2072), 18K(304.2072), 19M(15.9949), 1K(304.2072), 2C(57.0215), 2M(15.9949), 3K(304.2072), 3M(15.9949), 5K(304.2072), 5M(15.9949), 6C(57.0215), 6K(304.2072), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)			4059972.5039	3462927.7715	5281520.5312	4074571.0068	4452371.2715	4417890.9736	1497696.8730	1633001.3213	1640474.3850	2329334.5571	1950393.0166	2578927.8398	61636.6602	26089.1039	0.0000	0.0000
sp|Q7Z4V5|HDGR2_HUMAN	Q7Z4V5	HDGR2_HUMAN	HDGFL2	671	false	false	Homo sapiens	Hepatoma-derived growth factor-related protein 2	1:Experimental evidence at protein level	30.55	1.0000	0.9990	0.00000000000000	25	24	25	40	39	40	33625549	33625549	33625549	10K(304.2072), 13K(304.2072), 15K(304.2072), 1C(57.0215), 1K(304.2072), 20K(304.2072), 21K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 6M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			2461377.8584	1797209.9111	3227223.3281	2795741.4707	2793794.9238	2776370.4160	1640082.0801	1513090.3027	1611374.6182	1581060.4619	1388694.5107	1585547.3213	37652.3431	25521.2755	0.0000	0.0000
sp|Q7Z4W1|DCXR_HUMAN	Q7Z4W1	DCXR_HUMAN	DCXR	244	false	false	Homo sapiens	L-xylulose reductase	1:Experimental evidence at protein level	27.46	1.0000	0.9990	0.00000000000000	7	7	7	11	11	11	9953967	9953967	9953967	10K(304.2072), 12K(304.2072), 2M(15.9949), 5M(15.9949), 8K(304.2072), 9C(57.0215), N-term(304.2072)			455763.1797	352231.9521	564161.8262	446911.8809	451537.0000	429177.9600	599505.9922	628621.0566	693580.0527	847561.5664	833934.6777	822939.4629	22723.5674	9679.9003	0.0000	0.0000
sp|Q7Z553|MDGA2_HUMAN	Q7Z553	MDGA2_HUMAN	MDGA2	956	false	false	Homo sapiens	MAM domain-containing glycosylphosphatidylinositol anchor protein 2	1:Experimental evidence at protein level	12.24	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	3350685	3350685	3350685	11K(304.2072), 12K(304.2072), 15K(304.2072), 1C(57.0215), 3C(57.0215), 4M(15.9949), 6C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), N-term(304.2072)			256681.7075	186590.6362	310603.8623	175485.9531	197970.5378	190632.6899	782921.5703	833509.6562	873439.8164	575936.0488	562128.6016	516632.0762	14516.0302	9527.1483	0.0000	0.0000
sp|Q7Z5G4|GOGA7_HUMAN	Q7Z5G4	GOGA7_HUMAN	GOLGA7	137	false	false	Homo sapiens	Golgin subfamily A member 7	1:Experimental evidence at protein level	18.98	1.0000	0.9990	0.00000000000000	3	2	3	4	2	4	2683053	1259769	2683053	11K(304.2072), 8K(304.2072), N-term(304.2072)			47629.5352	36733.4746	73759.2021	38287.7310	42347.6631	36780.3765	347140.2734	327567.1914	390658.2734	232431.8984	212483.8320	242952.3203	6607.9667	2326.0898	0.0000	0.0000
sp|Q7Z5N4|SDK1_HUMAN	Q7Z5N4	SDK1_HUMAN	SDK1	2213	false	false	Homo sapiens	Protein sidekick-1	2:Experimental evidence at transcript level	7.05	1.0000	0.9990	0.00000000000000	16	15	15	18	17	17	5699460	5699460	5699460	14K(304.2072), 2C(57.0215), N-term(304.2072)			266690.1758	207724.7178	360572.0000	251066.2720	254281.4424	258139.9270	814676.0078	910628.9941	1002097.6602	578585.6621	552336.0186	557902.0459	11179.0797	0.0000	0.0000	0.0000
sp|Q7Z6B0|CCD91_HUMAN	Q7Z6B0	CCD91_HUMAN	CCDC91	441	false	false	Homo sapiens	Coiled-coil domain-containing protein 91	1:Experimental evidence at protein level	11.56	1.0000	0.9990	0.00000000000000	6	6	6	7	7	7	1756462	1756462	1756462	13K(304.2072), 1K(304.2072), 2K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			282794.2344	265049.1758	519918.1094	383659.8711	449754.9492	368268.0391	192232.5469	209067.9336	246257.7051	279499.3652	233730.4180	211053.3223	8792.9070	3484.2197	0.0000	0.0000
sp|Q7Z6B7|SRGP1_HUMAN	Q7Z6B7	SRGP1_HUMAN	SRGAP1	1085	false	false	Homo sapiens	SLIT-ROBO Rho GTPase-activating protein 1	1:Experimental evidence at protein level	9.95	1.0000	0.9990	0.00000000000000	11	7	9	12	7	9	5728267	3311704	5728267	10K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 2K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			351558.9531	286892.1035	420584.5703	360856.1055	442987.5996	407554.5938	257492.8066	302313.5859	302970.8926	357078.4902	307466.3301	357120.3555	13120.5366	4349.1384	0.0000	0.0000
sp|Q7Z6E9|RBBP6_HUMAN	Q7Z6E9	RBBP6_HUMAN	RBBP6	1792	false	false	Homo sapiens	E3 ubiquitin-protein ligase RBBP6	1:Experimental evidence at protein level	2.51	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	1412469	1412469	1412469	10K(304.2072), 12K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			127420.6289	95534.4941	157375.0820	155159.7676	138006.1973	169028.0332	126170.7256	156351.5117	175356.2891	202298.7344	206017.6699	202175.3047	7335.0127	1649.4818	0.0000	0.0000
sp|Q7Z6G3|NECA2_HUMAN	Q7Z6G3	NECA2_HUMAN	NECAB2	386	false	false	Homo sapiens	N-terminal EF-hand calcium-binding protein 2	1:Experimental evidence at protein level	44.04	1.0000	0.9990	0.00000000000000	17	15	17	24	21	24	21916898	21916898	21916898	10K(304.2072), 1K(304.2072), 2M(15.9949), 3K(304.2072), 3M(15.9949), 4K(304.2072), 4M(15.9949), 6C(57.0215), 7C(57.0215), 8C(57.0215), 8K(304.2072), 9K(304.2072), 9M(15.9949), N-term(304.2072)			961816.5264	756508.3213	1254809.5957	778822.4824	828679.3096	806752.6094	920771.4736	1099482.2842	1195923.2734	766976.4434	678589.6436	760088.9209	12795.0668	9372.1282	0.0000	0.0000
sp|Q7Z6J6|FRMD5_HUMAN	Q7Z6J6	FRMD5_HUMAN	FRMD5	570	false	false	Homo sapiens	FERM domain-containing protein 5	1:Experimental evidence at protein level	9.12	1.0000	0.9990	0.00000000000000	6	6	6	8	8	8	3724424	3724424	3724424	10K(304.2072), 2M(15.9949), 4C(57.0215), 6K(304.2072), 9C(57.0215), N-term(304.2072)			120894.6025	98511.3994	166663.3818	119959.6318	124763.4932	124450.9580	296848.6621	361293.9980	411354.2246	321250.3613	280113.8262	302629.5879	9251.7020	0.0000	0.0000	0.0000
sp|Q7Z6K5|ARPIN_HUMAN	Q7Z6K5	ARPIN_HUMAN	ARPIN	226	false	false	Homo sapiens	Arpin	1:Experimental evidence at protein level	30.09	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	12214317	12214317	12214317	11K(304.2072), 13K(304.2072), 1C(57.0215), 7M(15.9949), 8K(304.2072), N-term(304.2072)			463770.2041	360768.6631	724503.5156	583455.2080	722488.7090	543868.5479	296453.6094	304896.2217	320364.6895	353700.4766	298004.0459	285229.2373	5470.3108	1273.1425	0.0000	0.0000
sp|Q7Z6L0|PRRT2_HUMAN	Q7Z6L0	PRRT2_HUMAN	PRRT2	340	false	false	Homo sapiens	Proline-rich transmembrane protein 2	1:Experimental evidence at protein level	30.88	1.0000	0.9990	0.00000000000000	8	8	8	12	12	12	13734764	13734764	13734764	10M(15.9949), 11K(304.2072), 11M(15.9949), 15K(304.2072), 20K(304.2072), 32K(304.2072), 3C(57.0215), 7K(304.2072), 9C(57.0215), N-term(304.2072), N-term(42.0106)			82703.7085	58594.5298	92488.3760	52739.4241	72939.0935	45659.2252	804742.1992	695658.1777	707621.9375	287013.1768	279298.5059	265907.0039	5072.4727	0.0000	0.0000	0.0000
sp|Q7Z6L1|TCPR1_HUMAN	Q7Z6L1	TCPR1_HUMAN	TECPR1	1165	false	false	Homo sapiens	Tectonin beta-propeller repeat-containing protein 1	1:Experimental evidence at protein level	10.47	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	9601179	9601179	9601179	11K(304.2072), 2M(15.9949), 34K(304.2072), 4K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			565690.3232	424661.4229	699898.5645	469151.3730	480582.4346	505445.5605	475815.4668	557977.2734	602079.8691	436960.9512	415136.9746	529277.5781	16135.4054	7022.7726	0.0000	0.0000
sp|Q7Z6Z7|HUWE1_HUMAN	Q7Z6Z7	HUWE1_HUMAN	HUWE1	4374	false	false	Homo sapiens	E3 ubiquitin-protein ligase HUWE1	1:Experimental evidence at protein level	23.39	1.0000	0.9990	0.00000000000000	103	102	103	137	136	137	28200884	28200884	28200884	10C(57.0215), 10K(304.2072), 11C(57.0215), 11K(304.2072), 11M(15.9949), 12C(57.0215), 12K(304.2072), 12M(15.9949), 14K(304.2072), 15C(57.0215), 15K(304.2072), 17K(304.2072), 1K(304.2072), 20K(304.2072), 20M(15.9949), 21K(304.2072), 22K(304.2072), 23K(304.2072), 2C(57.0215), 2K(304.2072), 2M(15.9949), 3C(57.0215), 3K(304.2072), 3M(15.9949), 4C(57.0215), 4K(304.2072), 4M(15.9949), 5C(57.0215), 5K(304.2072), 5M(15.9949), 6C(57.0215), 6K(304.2072), 6M(15.9949), 7C(57.0215), 7K(304.2072), 7M(15.9949), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9C(57.0215), 9K(304.2072), 9M(15.9949), N-term(304.2072)			6050836.9141	4969739.2979	7848153.6367	8679044.7412	9236267.3330	9261986.9414	3797085.4043	4339681.3853	4340138.0464	5201376.3916	4438963.4741	5426024.0635	104814.4866	63495.6885	0.0000	0.0000
